id,cost_resource,vip1,vip2,vip3,vip4,vip5,vip6,vip7,vip8,vip9,vip10,vip11,vip12,vip13,vip14,vip15,vip16,vip17,vip18,vip19,vip20,
63,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
64,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
65,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
66,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
67,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
68,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
69,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
70,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
71,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
72,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
73,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
74,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
75,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
76,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
77,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
78,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
79,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
80,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
81,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
82,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
83,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
84,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
85,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
86,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
87,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
88,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
89,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
90,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
91,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
92,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
93,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
94,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
95,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
96,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
97,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
98,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
99,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
100,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
