gear_ID,gear_Tier,health,damage,armor,focus,resist,crit_Damage,crit_Chance,speed,dodge_Chance,block_Chance,block_Amount,accuracy,picture,crafting_Part1_ID,crafting_Part1_Count,crafting_Part2_ID,crafting_Part2_Count,crafting_Part3_ID,crafting_Part3_Count,crafting_Cost,
T18_Bio_Health,18,440,0,0,0,4,0,0,0,0,0,0,0,Gear_Bio_Health3,,0,,0,,0,100000,
T19_Bio_Health,19,460,0,0,0,4,0,0,0,0,0,0,0,Gear_Bio_Health4,,0,,0,,0,100000,
T20_Bio_Health,20,475,0,0,0,4,0,0,0,0,0,0,0,Gear_Bio_Health1,,0,,0,,0,100000,
T1_Bio_Damage,1,0,67,0,1,0,0,0,0,0,0,0,0,Gear_Bio_Damage1,,0,,0,,0,100000,
T2_Bio_Damage,2,0,91,0,2,0,0,0,0,0,0,0,0,Gear_Bio_Damage2,Green_Bio_Mat,1,Green_Damage_Mat,1,,0,1100,
T3_Bio_Damage,3,0,101,0,2,0,0,0,0,0,0,0,0,Gear_Bio_Damage3,Green_Bio_Mat,1,Green_Damage_Mat,1,Green_Bio_Mat_b2,1,1900,
T4_Bio_Damage,4,0,113,0,3,0,0,0,0,0,0,0,0,Gear_Bio_Damage1,Blue_Bio_Mat,1,Blue_Bio_Damage_Mat,1,,0,2200,
T5_Bio_Damage,5,0,125,0,3,0,0,0,0,0,0,0,0,Gear_Bio_Damage2,Blue_Bio_Mat,1,Blue_Bio_Damage_Mat,2,Blue_Bio_Mat_b3,1,2400,
T6_Bio_Damage,6,0,140,0,3,0,0,0,0,0,0,0,0,Gear_Bio_Damage3,Blue_Bio_Mat,1,Blue_Bio_Damage_Mat,3,Blue_Bio_Mat_A1,1,2800,
T7_Bio_Damage,7,0,150,0,4,0,0,0,0,0,0,0,0,Gear_Bio_Damage4,Blue_Bio_Mat,2,Blue_Bio_Damage_Mat,4,Blue_Bio_Mat_A2,1,3400,
T8_Bio_Damage,8,0,160,0,4,0,0,0,0,0,0,0,0,Gear_Bio_Damage1,Purple_Bio_Mat,1,Purple_Bio_Damage_Mat,1,Purple_Bio_Mat_b3,1,4600,
T9_Bio_Damage,9,0,170,0,5,0,0,0,0,0,0,0,0,Gear_Bio_Damage2,Purple_Bio_Mat,2,Purple_Bio_Damage_Mat,3,Purple_Bio_Mat_b1,1,5800,
T10_Bio_Damage,10,0,185,0,5,0,0,0,0,0,0,0,0,Gear_Bio_Damage3,Purple_Bio_Mat,2,Purple_Bio_Damage_Mat,5,Purple_Bio_Mat_A1,1,7300,
T11_Bio_Damage,11,0,200,0,5,0,0,0,0,0,0,0,0,Gear_Bio_Damage4,Purple_Bio_Mat,2,Purple_Bio_Damage_Mat,7,Purple_Bio_Mat_A2,1,9200,
T12_Bio_Damage,12,0,210,0,5,0,0,0,0,0,0,0,0,Gear_Bio_Damage1,Orange_Bio_Mat,2,Orange_Bio_Damage_Mat,2,Orange_Bio_Mat_b3,2,10000,
T13_Bio_Damage,13,0,58,0,5,0,0,0,0,0,0,0,0,Gear_Bio_Damage2,Orange_Bio_Mat,3,Orange_Bio_Damage_Mat,5,Orange_Bio_Mat_b1,1,1300,
T14_Bio_Damage,14,0,62,0,5,0,0,0,0,0,0,0,0,Gear_Bio_Damage3,Orange_Bio_Mat,5,Orange_Bio_Damage_Mat,10,Orange_Bio_Mat_A1,1,1400,
T15_Bio_Damage,15,0,66,0,5,0,0,0,0,0,0,0,0,Gear_Bio_Damage4,Orange_Bio_Mat,10,Orange_Bio_Damage_Mat,15,Orange_Bio_Mat_A2,1,1500,
T16_Bio_Damage,16,0,67,0,5,0,0,0,0,0,0,0,0,Gear_Bio_Damage1,,0,,0,,0,100000,
T17_Bio_Damage,17,0,71,0,5,0,0,0,0,0,0,0,0,Gear_Bio_Damage2,,0,,0,,0,100000,
T18_Bio_Damage,18,0,73,0,4,0,0,0,0,0,0,0,0,Gear_Bio_Damage3,,0,,0,,0,100000,
T19_Bio_Damage,19,0,76,0,4,0,0,0,0,0,0,0,0,Gear_Bio_Damage4,,0,,0,,0,100000,
T20_Bio_Damage,20,0,79,0,4,0,0,0,0,0,0,0,0,Gear_Bio_Damage1,,0,,0,,0,100000,
T1_Bio_Armor,1,8,0,15,0,0,0,0,0,0,0,0,0,Gear_Bio_Armor1,,0,,0,,0,100000,
T2_Bio_Armor,2,22,0,25,0,0,0,0,0,0,0,0,0,Gear_Bio_Armor2,Green_Bio_Mat,1,Green_Armor_Mat,1,,0,1100,
T3_Bio_Armor,3,32,0,40,0,0,0,0,0,0,0,0,0,Gear_Bio_Armor3,Green_Bio_Mat,1,Green_Armor_Mat,1,Green_Bio_Mat_b2,1,1900,
T4_Bio_Armor,4,56,0,65,0,0,0,0,0,0,0,0,0,Gear_Bio_Armor1,Blue_Bio_Mat,1,Blue_Bio_Armor_Mat,1,,0,2200,
T5_Bio_Armor,5,60,0,70,0,0,0,0,0,0,0,0,0,Gear_Bio_Armor2,Blue_Bio_Mat,1,Blue_Bio_Armor_Mat,2,Blue_Bio_Mat_b3,1,2400,
T6_Bio_Armor,6,75,0,90,0,0,0,0,0,0,0,0,0,Gear_Bio_Armor3,Blue_Bio_Mat,1,Blue_Bio_Armor_Mat,3,Blue_Bio_Mat_A1,1,2800,
T7_Bio_Armor,7,85,0,100,0,0,0,0,0,0,0,0,0,Gear_Bio_Armor4,Blue_Bio_Mat,2,Blue_Bio_Armor_Mat,4,Blue_Bio_Mat_A2,1,3400,
T8_Bio_Armor,8,95,0,110,0,0,0,0,0,0,0,0,0,Gear_Bio_Armor1,Purple_Bio_Mat,1,Purple_Bio_Armor_Mat,1,Purple_Bio_Mat_b3,1,4600,
T9_Bio_Armor,9,100,0,120,0,0,0,0,0,0,0,0,0,Gear_Bio_Armor2,Purple_Bio_Mat,2,Purple_Bio_Armor_Mat,3,Purple_Bio_Mat_b1,1,5800,
T10_Bio_Armor,10,110,0,130,0,0,0,0,0,0,0,0,0,Gear_Bio_Armor3,Purple_Bio_Mat,2,Purple_Bio_Armor_Mat,5,Purple_Bio_Mat_A1,1,7300,
T11_Bio_Armor,11,120,0,140,0,0,0,0,0,0,0,0,0,Gear_Bio_Armor4,Purple_Bio_Mat,2,Purple_Bio_Armor_Mat,7,Purple_Bio_Mat_A2,1,9200,
T12_Bio_Armor,12,130,0,150,0,0,0,0,0,0,0,0,0,Gear_Bio_Armor1,Orange_Bio_Mat,2,Orange_Bio_Armor_Mat,2,Orange_Bio_Mat_b3,2,10000,
T13_Bio_Armor,13,22,0,26,0,0,0,0,0,0,0,0,0,Gear_Bio_Armor2,Orange_Bio_Mat,3,Orange_Bio_Armor_Mat,5,Orange_Bio_Mat_b1,1,1300,
T14_Bio_Armor,14,23,0,27,0,0,0,0,0,0,0,0,0,Gear_Bio_Armor3,Orange_Bio_Mat,5,Orange_Bio_Armor_Mat,10,Orange_Bio_Mat_A1,1,1400,
T15_Bio_Armor,15,23,0,28,0,0,0,0,0,0,0,0,0,Gear_Bio_Armor4,Orange_Bio_Mat,10,Orange_Bio_Armor_Mat,15,Orange_Bio_Mat_A2,1,1500,
T16_Bio_Armor,16,24,0,29,0,0,0,0,0,0,0,0,0,Gear_Bio_Armor1,,0,,0,,0,100000,
T17_Bio_Armor,17,25,0,30,0,0,0,0,0,0,0,0,0,Gear_Bio_Armor2,,0,,0,,0,100000,
T18_Bio_Armor,18,26,0,32,0,0,0,0,0,0,0,0,0,Gear_Bio_Armor3,,0,,0,,0,100000,
T19_Bio_Armor,19,27,0,33,0,0,0,0,0,0,0,0,0,Gear_Bio_Armor4,,0,,0,,0,100000,
T20_Bio_Armor,20,28,0,34,0,0,0,0,0,0,0,0,0,Gear_Bio_Armor1,,0,,0,,0,100000,
T1_Bio_Focus,1,0,8,0,4,0,0,0,0,0,0,0,0,Gear_Bio_Focus1,,0,,0,,0,100000,
T2_Bio_Focus,2,0,10,0,20,0,0,0,0,0,0,0,0,Gear_Bio_Focus2,Green_Bio_Mat,1,Green_Focus_Mat,1,,0,1100,
T3_Bio_Focus,3,0,11,0,22,0,0,0,0,0,0,0,0,Gear_Bio_Focus3,Green_Bio_Mat,1,Green_Focus_Mat,1,Green_Bio_Mat_b2,1,1900,
T4_Bio_Focus,4,0,13,0,25,0,0,0,0,0,0,0,0,Gear_Bio_Focus1,Blue_Bio_Mat,1,Blue_Bio_Focus_Mat,1,,0,2200,
T5_Bio_Focus,5,0,14,0,27,0,0,0,0,0,0,0,0,Gear_Bio_Focus2,Blue_Bio_Mat,1,Blue_Bio_Focus_Mat,2,Blue_Bio_Mat_b3,1,2400,
T6_Bio_Focus,6,0,15,0,30,0,0,0,0,0,0,0,0,Gear_Bio_Focus3,Blue_Bio_Mat,1,Blue_Bio_Focus_Mat,3,Blue_Bio_Mat_A1,1,2800,
T7_Bio_Focus,7,0,17,0,32,0,0,0,0,0,0,0,0,Gear_Bio_Focus4,Blue_Bio_Mat,2,Blue_Bio_Focus_Mat,4,Blue_Bio_Mat_A2,1,3400,
T8_Bio_Focus,8,0,18,0,34,0,0,0,0,0,0,0,0,Gear_Bio_Focus1,Purple_Bio_Mat,1,Purple_Bio_Focus_Mat,1,Purple_Bio_Mat_b3,1,4600,
T9_Bio_Focus,9,0,20,0,36,0,0,0,0,0,0,0,0,Gear_Bio_Focus2,Purple_Bio_Mat,2,Purple_Bio_Focus_Mat,3,Purple_Bio_Mat_b1,1,5800,
T10_Bio_Focus,10,0,21,0,38,0,0,0,0,0,0,0,0,Gear_Bio_Focus3,Purple_Bio_Mat,2,Purple_Bio_Focus_Mat,5,Purple_Bio_Mat_A1,1,7300,
T11_Bio_Focus,11,0,23,0,42,0,0,0,0,0,0,0,0,Gear_Bio_Focus4,Purple_Bio_Mat,2,Purple_Bio_Focus_Mat,7,Purple_Bio_Mat_A2,1,9200,
T12_Bio_Focus,12,0,24,0,45,0,0,0,0,0,0,0,0,Gear_Bio_Focus1,Orange_Bio_Mat,2,Orange_Bio_Focus_Mat,2,Orange_Bio_Mat_b3,2,10000,
T13_Bio_Focus,13,0,7,0,26,0,0,0,0,0,0,0,0,Gear_Bio_Focus2,Orange_Bio_Mat,3,Orange_Bio_Focus_Mat,5,Orange_Bio_Mat_b1,1,1300,
T14_Bio_Focus,14,0,7,0,27,0,0,0,0,0,0,0,0,Gear_Bio_Focus3,Orange_Bio_Mat,5,Orange_Bio_Focus_Mat,10,Orange_Bio_Mat_A1,1,1400,
T15_Bio_Focus,15,0,7,0,28,0,0,0,0,0,0,0,0,Gear_Bio_Focus4,Orange_Bio_Mat,10,Orange_Bio_Focus_Mat,15,Orange_Bio_Mat_A2,1,1500,
T16_Bio_Focus,16,0,8,0,29,0,0,0,0,0,0,0,0,Gear_Bio_Focus1,,0,,0,,0,100000,
T17_Bio_Focus,17,0,8,0,30,0,0,0,0,0,0,0,0,Gear_Bio_Focus2,,0,,0,,0,100000,
T18_Bio_Focus,18,0,8,0,31,0,0,0,0,0,0,0,0,Gear_Bio_Focus3,,0,,0,,0,100000,
T19_Bio_Focus,19,0,9,0,32,0,0,0,0,0,0,0,0,Gear_Bio_Focus4,,0,,0,,0,100000,
T20_Bio_Focus,20,0,9,0,34,0,0,0,0,0,0,0,0,Gear_Bio_Focus1,,0,,0,,0,100000,
T1_Bio_Resist,1,10,0,0,0,4,0,0,0,0,0,0,0,Gear_Bio_Resist1,,0,,0,,0,100000,
T2_Bio_Resist,2,45,0,0,0,20,0,0,0,0,0,0,0,Gear_Bio_Resist2,Green_Bio_Mat,1,Green_Resist_Mat,1,,0,1100,
T3_Bio_Resist,3,60,0,0,0,22,0,0,0,0,0,0,0,Gear_Bio_Resist3,Green_Bio_Mat,1,Green_Resist_Mat,1,Green_Bio_Mat_b2,1,1900,
T4_Bio_Resist,4,110,0,0,0,25,0,0,0,0,0,0,0,Gear_Bio_Resist1,Blue_Bio_Mat,1,Blue_Bio_Resist_Mat,1,,0,2200,
T5_Bio_Resist,5,120,0,0,0,27,0,0,0,0,0,0,0,Gear_Bio_Resist2,Blue_Bio_Mat,1,Blue_Bio_Resist_Mat,2,Blue_Bio_Mat_b3,1,2400,
T6_Bio_Resist,6,150,0,0,0,30,0,0,0,0,0,0,0,Gear_Bio_Resist3,Blue_Bio_Mat,1,Blue_Bio_Resist_Mat,3,Blue_Bio_Mat_A1,1,2800,
T7_Bio_Resist,7,170,0,0,0,32,0,0,0,0,0,0,0,Gear_Bio_Resist4,Blue_Bio_Mat,2,Blue_Bio_Resist_Mat,4,Blue_Bio_Mat_A2,1,3400,
T8_Bio_Resist,8,185,0,0,0,34,0,0,0,0,0,0,0,Gear_Bio_Resist1,Purple_Bio_Mat,1,Purple_Bio_Resist_Mat,1,Purple_Bio_Mat_b3,1,4600,
T9_Bio_Resist,9,200,0,0,0,36,0,0,0,0,0,0,0,Gear_Bio_Resist2,Purple_Bio_Mat,2,Purple_Bio_Resist_Mat,3,Purple_Bio_Mat_b1,1,5800,
T10_Bio_Resist,10,220,0,0,0,38,0,0,0,0,0,0,0,Gear_Bio_Resist3,Purple_Bio_Mat,2,Purple_Bio_Resist_Mat,5,Purple_Bio_Mat_A1,1,7300,
T11_Bio_Resist,11,240,0,0,0,42,0,0,0,0,0,0,0,Gear_Bio_Resist4,Purple_Bio_Mat,2,Purple_Bio_Resist_Mat,7,Purple_Bio_Mat_A2,1,9200,
T12_Bio_Resist,12,260,0,0,0,45,0,0,0,0,0,0,0,Gear_Bio_Resist1,Orange_Bio_Mat,2,Orange_Bio_Resist_Mat,2,Orange_Bio_Mat_b3,2,10000,
T13_Bio_Resist,13,44,0,0,0,26,0,0,0,0,0,0,0,Gear_Bio_Resist2,Orange_Bio_Mat,3,Orange_Bio_Resist_Mat,5,Orange_Bio_Mat_b1,1,1300,
T14_Bio_Resist,14,46,0,0,0,27,0,0,0,0,0,0,0,Gear_Bio_Resist3,Orange_Bio_Mat,5,Orange_Bio_Resist_Mat,10,Orange_Bio_Mat_A1,1,1400,
T15_Bio_Resist,15,47,0,0,0,28,0,0,0,0,0,0,0,Gear_Bio_Resist4,Orange_Bio_Mat,10,Orange_Bio_Resist_Mat,15,Orange_Bio_Mat_A2,1,1500,
T16_Bio_Resist,16,48,0,0,0,29,0,0,0,0,0,0,0,Gear_Bio_Resist1,,0,,0,,0,100000,
T17_Bio_Resist,17,50,0,0,0,30,0,0,0,0,0,0,0,Gear_Bio_Resist2,,0,,0,,0,100000,
T18_Bio_Resist,18,52,0,0,0,31,0,0,0,0,0,0,0,Gear_Bio_Resist3,,0,,0,,0,100000,
T19_Bio_Resist,19,54,0,0,0,32,0,0,0,0,0,0,0,Gear_Bio_Resist4,,0,,0,,0,100000,
T20_Bio_Resist,20,56,0,0,0,34,0,0,0,0,0,0,0,Gear_Bio_Resist1,,0,,0,,0,100000,
T1_Tech_Health,1,140,0,0,0,1,0,0,0,0,0,0,0,Gear_Tech_Health1,,0,,0,,0,100000,
T2_Tech_Health,2,381,0,0,0,2,0,0,0,0,0,0,0,Gear_Tech_Health2,Green_Tech_Mat,1,Green_Health_Mat,1,,0,1100,
T3_Tech_Health,3,538,0,0,0,2,0,0,0,0,0,0,0,Gear_Tech_Health3,Green_Tech_Mat,1,Green_Health_Mat,1,Green_Tech_Mat_b2,1,1900,
T4_Tech_Health,4,954,0,0,0,3,0,0,0,0,0,0,0,Gear_Tech_Health1,Blue_Tech_Mat,1,Blue_Tech_Health_Mat,1,,0,2200,
T5_Tech_Health,5,1000,0,0,0,3,0,0,0,0,0,0,0,Gear_Tech_Health2,Blue_Tech_Mat,1,Blue_Tech_Health_Mat,2,Blue_Tech_Mat_b3,1,2400,
T6_Tech_Health,6,1200,0,0,0,3,0,0,0,0,0,0,0,Gear_Tech_Health3,Blue_Tech_Mat,1,Blue_Tech_Health_Mat,3,Blue_Tech_Mat_A1,1,2800,
T7_Tech_Health,7,1300,0,0,0,4,0,0,0,0,0,0,0,Gear_Tech_Health4,Blue_Tech_Mat,2,Blue_Tech_Health_Mat,4,Blue_Tech_Mat_A2,1,3400,
T8_Tech_Health,8,1500,0,0,0,4,0,0,0,0,0,0,0,Gear_Tech_Health1,Purple_Tech_Mat,1,Purple_Tech_Health_Mat,1,Purple_Tech_Mat_b3,1,4600,
T9_Tech_Health,9,1600,0,0,0,5,0,0,0,0,0,0,0,Gear_Tech_Health2,Purple_Tech_Mat,2,Purple_Tech_Health_Mat,3,Purple_Tech_Mat_b1,1,5800,
T10_Tech_Health,10,1800,0,0,0,5,0,0,0,0,0,0,0,Gear_Tech_Health3,Purple_Tech_Mat,2,Purple_Tech_Health_Mat,5,Purple_Tech_Mat_A1,1,7300,
T11_Tech_Health,11,2000,0,0,0,5,0,0,0,0,0,0,0,Gear_Tech_Health4,Purple_Tech_Mat,2,Purple_Tech_Health_Mat,7,Purple_Tech_Mat_A2,1,9200,
T12_Tech_Health,12,2100,0,0,0,5,0,0,0,0,0,0,0,Gear_Tech_Health1,Orange_Tech_Mat,2,Orange_Tech_Health_Mat,2,Orange_Tech_Mat_b3,2,10000,
T13_Tech_Health,13,375,0,0,0,5,0,0,0,0,0,0,0,Gear_Tech_Health2,Orange_Tech_Mat,3,Orange_Tech_Health_Mat,5,Orange_Tech_Mat_b1,1,1300,
T14_Tech_Health,14,385,0,0,0,5,0,0,0,0,0,0,0,Gear_Tech_Health3,Orange_Tech_Mat,5,Orange_Tech_Health_Mat,10,Orange_Tech_Mat_A1,1,1400,
T15_Tech_Health,15,395,0,0,0,5,0,0,0,0,0,0,0,Gear_Tech_Health4,Orange_Tech_Mat,10,Orange_Tech_Health_Mat,15,Orange_Tech_Mat_A2,1,1500,
T16_Tech_Health,16,400,0,0,0,5,0,0,0,0,0,0,0,Gear_Tech_Health1,,0,,0,,0,100000,
T17_Tech_Health,17,425,0,0,0,5,0,0,0,0,0,0,0,Gear_Tech_Health2,,0,,0,,0,100000,
T18_Tech_Health,18,440,0,0,0,4,0,0,0,0,0,0,0,Gear_Tech_Health3,,0,,0,,0,100000,
T19_Tech_Health,19,460,0,0,0,4,0,0,0,0,0,0,0,Gear_Tech_Health4,,0,,0,,0,100000,
T20_Tech_Health,20,475,0,0,0,4,0,0,0,0,0,0,0,Gear_Tech_Health1,,0,,0,,0,100000,
T1_Tech_Damage,1,0,67,0,1,0,0,0,0,0,0,0,0,Gear_Tech_Damage1,,0,,0,,0,100000,
T2_Tech_Damage,2,0,91,0,2,0,0,0,0,0,0,0,0,Gear_Tech_Damage2,Green_Tech_Mat,1,Green_Damage_Mat,1,,0,1100,
T3_Tech_Damage,3,0,101,0,2,0,0,0,0,0,0,0,0,Gear_Tech_Damage3,Green_Tech_Mat,1,Green_Damage_Mat,1,Green_Tech_Mat_b2,1,1900,
T4_Tech_Damage,4,0,113,0,3,0,0,0,0,0,0,0,0,Gear_Tech_Damage1,Blue_Tech_Mat,1,Blue_Tech_Damage_Mat,1,,0,2200,
T5_Tech_Damage,5,0,125,0,3,0,0,0,0,0,0,0,0,Gear_Tech_Damage2,Blue_Tech_Mat,1,Blue_Tech_Damage_Mat,2,Blue_Tech_Mat_b3,1,2400,
T6_Tech_Damage,6,0,140,0,3,0,0,0,0,0,0,0,0,Gear_Tech_Damage3,Blue_Tech_Mat,1,Blue_Tech_Damage_Mat,3,Blue_Tech_Mat_A1,1,2800,
T7_Tech_Damage,7,0,150,0,4,0,0,0,0,0,0,0,0,Gear_Tech_Damage4,Blue_Tech_Mat,2,Blue_Tech_Damage_Mat,4,Blue_Tech_Mat_A2,1,3400,
T8_Tech_Damage,8,0,160,0,4,0,0,0,0,0,0,0,0,Gear_Tech_Damage1,Purple_Tech_Mat,1,Purple_Tech_Damage_Mat,1,Purple_Tech_Mat_b3,1,4600,
T9_Tech_Damage,9,0,170,0,5,0,0,0,0,0,0,0,0,Gear_Tech_Damage2,Purple_Tech_Mat,2,Purple_Tech_Damage_Mat,3,Purple_Tech_Mat_b1,1,5800,
T10_Tech_Damage,10,0,185,0,5,0,0,0,0,0,0,0,0,Gear_Tech_Damage3,Purple_Tech_Mat,2,Purple_Tech_Damage_Mat,5,Purple_Tech_Mat_A1,1,7300,
T11_Tech_Damage,11,0,200,0,5,0,0,0,0,0,0,0,0,Gear_Tech_Damage4,Purple_Tech_Mat,2,Purple_Tech_Damage_Mat,7,Purple_Tech_Mat_A2,1,9200,
T12_Tech_Damage,12,0,210,0,5,0,0,0,0,0,0,0,0,Gear_Tech_Damage1,Orange_Tech_Mat,2,Orange_Tech_Damage_Mat,2,Orange_Tech_Mat_b3,2,10000,
T13_Tech_Damage,13,0,58,0,5,0,0,0,0,0,0,0,0,Gear_Tech_Damage2,Orange_Tech_Mat,3,Orange_Tech_Damage_Mat,5,Orange_Tech_Mat_b1,1,1300,
T14_Tech_Damage,14,0,62,0,5,0,0,0,0,0,0,0,0,Gear_Tech_Damage3,Orange_Tech_Mat,5,Orange_Tech_Damage_Mat,10,Orange_Tech_Mat_A1,1,1400,
T15_Tech_Damage,15,0,66,0,5,0,0,0,0,0,0,0,0,Gear_Tech_Damage4,Orange_Tech_Mat,10,Orange_Tech_Damage_Mat,15,Orange_Tech_Mat_A2,1,1500,
T16_Tech_Damage,16,0,67,0,5,0,0,0,0,0,0,0,0,Gear_Tech_Damage1,,0,,0,,0,100000,
T17_Tech_Damage,17,0,71,0,5,0,0,0,0,0,0,0,0,Gear_Tech_Damage2,,0,,0,,0,100000,
T18_Tech_Damage,18,0,73,0,4,0,0,0,0,0,0,0,0,Gear_Tech_Damage3,,0,,0,,0,100000,
T19_Tech_Damage,19,0,76,0,4,0,0,0,0,0,0,0,0,Gear_Tech_Damage4,,0,,0,,0,100000,
T20_Tech_Damage,20,0,79,0,4,0,0,0,0,0,0,0,0,Gear_Tech_Damage1,,0,,0,,0,100000,
T1_Tech_Armor,1,8,0,15,0,0,0,0,0,0,0,0,0,Gear_Tech_Armor1,,0,,0,,0,100000,
T2_Tech_Armor,2,22,0,25,0,0,0,0,0,0,0,0,0,Gear_Tech_Armor2,Green_Tech_Mat,1,Green_Armor_Mat,1,,0,1100,
T3_Tech_Armor,3,32,0,40,0,0,0,0,0,0,0,0,0,Gear_Tech_Armor3,Green_Tech_Mat,1,Green_Armor_Mat,1,Green_Tech_Mat_b2,1,1900,
T4_Tech_Armor,4,56,0,65,0,0,0,0,0,0,0,0,0,Gear_Tech_Armor1,Blue_Tech_Mat,1,Blue_Tech_Armor_Mat,1,,0,2200,
T5_Tech_Armor,5,60,0,70,0,0,0,0,0,0,0,0,0,Gear_Tech_Armor2,Blue_Tech_Mat,1,Blue_Tech_Armor_Mat,2,Blue_Tech_Mat_b3,1,2400,
T6_Tech_Armor,6,75,0,90,0,0,0,0,0,0,0,0,0,Gear_Tech_Armor3,Blue_Tech_Mat,1,Blue_Tech_Armor_Mat,3,Blue_Tech_Mat_A1,1,2800,
T7_Tech_Armor,7,85,0,100,0,0,0,0,0,0,0,0,0,Gear_Tech_Armor4,Blue_Tech_Mat,2,Blue_Tech_Armor_Mat,4,Blue_Tech_Mat_A2,1,3400,
T8_Tech_Armor,8,95,0,110,0,0,0,0,0,0,0,0,0,Gear_Tech_Armor1,Purple_Tech_Mat,1,Purple_Tech_Armor_Mat,1,Purple_Tech_Mat_b3,1,4600,
T9_Tech_Armor,9,100,0,120,0,0,0,0,0,0,0,0,0,Gear_Tech_Armor2,Purple_Tech_Mat,2,Purple_Tech_Armor_Mat,3,Purple_Tech_Mat_b1,1,5800,
T10_Tech_Armor,10,110,0,130,0,0,0,0,0,0,0,0,0,Gear_Tech_Armor3,Purple_Tech_Mat,2,Purple_Tech_Armor_Mat,5,Purple_Tech_Mat_A1,1,7300,
T11_Tech_Armor,11,120,0,140,0,0,0,0,0,0,0,0,0,Gear_Tech_Armor4,Purple_Tech_Mat,2,Purple_Tech_Armor_Mat,7,Purple_Tech_Mat_A2,1,9200,
T12_Tech_Armor,12,130,0,150,0,0,0,0,0,0,0,0,0,Gear_Tech_Armor1,Orange_Tech_Mat,2,Orange_Tech_Armor_Mat,2,Orange_Tech_Mat_b3,2,10000,
T13_Tech_Armor,13,22,0,26,0,0,0,0,0,0,0,0,0,Gear_Tech_Armor2,Orange_Tech_Mat,3,Orange_Tech_Armor_Mat,5,Orange_Tech_Mat_b1,1,1300,
